,age,body_type,diet,drinks,drugs,education,essay0,essay1,essay2,essay3,essay4,essay5,essay6,essay7,essay8,essay9,ethnicity,height,income,job,last_online,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
1593,35,athletic,mostly anything,,never,graduated med school,35 year old garden variety asian professional living city originally upstate ny lived san francisco 10 year love always thinking new way explore everything bay area offer career bos absolutely love look forward going work every day bos close bud kick lot cool balance work life pleasure passion seeking amazing city although admitted homebody lazy guy sometimes idea quality time talking day enjoying company cooking meal together appreciate everything world feel blessed health family friend fantastic career buck bank whole hell lot people looking something meaningful love appreciation true sense partnership staring mid 30 much bar club drinking anymore try take life seriously reserved first wear pretty quickly better read room,love career healthcare field keeping physically fit urban gardening painting creative outlet mood strike fresh water aquarium keeping traveling domestically internationally discovering city love urban hike different neighborhood finding new nook cranny hadn known restaurant eating foody city road trip maintaining connection visiting friend past present spread across country constantly learning goal life,cooking trying new recipe grounded person vegging chilling day away cuddling listening people putting another shoe finding rational realistic solution problem sweating small stuff life nesting someone cold rainy day connecting playing dog growing orchid keeping impressive fresh water planted fish tank trying better physically mentally,asian,music never big part life music library eclectic mix everything indie foreign art house film usually safe bet big tv show watcher competitive reality show fun top chef project runway kardashians will problem nature science food travel show alway attention love story true crime fascinated human psychology make people thing love read mostly novel fiction don favorite author book get attention will read really love non fiction history favorite current reading subject regime cult personality north korea news junky ll find watching reading economist time cnn msnbc reuters bbc huffington post etc lot food lovely eating lovely will try anything least includes food culture many might find disgusting one best way learn culture food,computer garlic exercise coffee vietnamese food time,find question odd,usually home relaxing friday slammed work beat time home will occasion go drinking though don drink much alcohol especially dinner friend,stopped biting toenail 21 know disgusting,re single re interested dating relationship romp sheet prude either re kind considerate love laugh re sane prone unloading baggage onto people don narcissistic personality disorder honor commitment job,asian,67,,medicine health,2012 06 30 16 42,san francisco california,doesn rsquo kid doesn rsquo want,gay,like dog dislike cat,atheism serious,,sagittarius doesn rsquo matter,,english fluently chinese okay dutch poorly,single
1594,28,thin,mostly anything,socially,sometimes,graduated college university,stranger strange land originally baton rouge louisiana southerner say please thank yes ma sir hold door open lady walk closest curb ve told bit drawl word seek mimic experience ill fitting substitution awesome surprising way even past girlfriend told taught new thing broadened horizon cool complex icated charming nerd posse rapier wit accused poetic straightforward forthright way dreamed look want look fuck want fuck smart capable importantly free way many,currently executive business manager theonline401k desk find wandering street san francisco fascinated secluded secret part city spend lot time checking graffiti far favorite art form,climbing mountain wearing rollerblade going waterfall cardboard box punching bad guy back face front rub slamming revolving door popping wheelies unicycle counting infinity 754 dividing seducing nun picking wet watermelon seed smooth surface first attempt sneezing eye open making heart hop scotch beat classical air cello standing hammock,smarter look,stranger strange land giver clockwork orange fahrenheit 451 1984 animal farm hitchhiker guide galaxy series odyssey iliad secret awakening confederacy dunce anything david sedaris pretty much book snag philosophy quantum physic cosmology far movie favorite include fight club tombstone quick dead fistful dollar half baked shawshank redemption donnie darko bubba ho tep army darkness big lebowski super trooper amelie pineapple express waiting indiana jones powerbombed childhood star war friday monthy python secret bleep know gatica road warrior mad max thunderdome game jurrasic park first one musically immersed hip hop last year talib kweli kanye west jay brand nubian tribe called quest wale charles hamilton feel shout track already common kid cudi dilla madlib mf doom cee lo green danger mouse missed ain missed ve listening lot dubstep skrillex mostly deadmau5 know isn dub nero haven decided keep listening come food always ready try something new expanding horizon challenging pallet discovered brenda french soul food officially favorite restaurant whole city,space food water pulse immune system ability produce smarta answer straightforward question,next step,drinking whiskey finding fun stirring trouble making sarcastic comment breath,enjoy wearing sweatervests entirely much man age,know time travel ve dying know,white,72,50000,banking financial real estate,2012 06 26 17 34,oakland california,doesn rsquo kid want,straight,dog like cat,atheism laughing,,sagittarius doesn rsquo matter,,english fluently spanish okay,single
1628,25,athletic,mostly anything,socially,never,working college university,name elmer cool guy musician funny open make new friend sport soccer yoga tennis go concert show bar play sing write breath music babe life passion passion music love creative funny think important good sense humor,far fun singing playing music cooking good food going school sport work one top restaurant city fun job easy keep balance life many thing time friend think multifaceted person well important,cooking producing music,beautiful smile jaja,book always running luis rodriguez la vena abiertas de latin america three cup tea bunch movie scary movie contraband bourne conspiracy nacho libre unfaithful hang amores perros show george lopez iron chef america chopped friend music metallica bob marley manu chao calle 13 mana enanitos verdes pearl jan raise machine audioslave etc,nice lady music family friend school job kick as burrito jajaja,music food,exploring city sport eating good food playing music,fallen love music,want meet funny atlethic creative guy habla spanol,hispanic latin,62,,hospitality travel,2012 06 10 00 25,san francisco california,doesn rsquo kid might want,straight,like dog like cat,serious,,sagittarius doesn rsquo matter,,english fluently spanish fluently italian okay,single
1636,26,jacked,mostly,socially,never,working college university,raised fairfield ca born san francisco lost house fairfield go live hell washington state moved back california san francisco now live best life starting love san francisco except hella expensive people make many different kind ppl living fuckin awesome little let see clumsy trip foot sometimes think much start freak random thing walking right day dreamer will day dream front start acting boring crazy like taco mexican food even though mexican mistaken lot think learn speak spanish really need learn speak chinese though anyways looking adventure friend don message want see one time laid looking friend,working metreon going school become better photographer academy art university school making lose money lol hoping worth long run,hugging snorking coke cocain lol loving life eating taco awesome really clumsy tripping everything silly saying random thing go head weird funny love photography photographer,maybe eye hair crazy weird love weirdness lol,fave book probably anne rice vampire series love vamp fucking hate twilight stupid vamp show light vampire diary true blood ann rice badass vamp pussy one love action movie comedy love dance rock alternative music sorry say love mariah carey lol oh mindless self indulgence plus old school afi favorite food probably duck corn beef oh taco burrito,food water air heart brain intestine photography,random thought take world muahahahah stupid human clue whats coming,working changed schedule now friday looking adventure,ll admit ashamed anymore know wasn fault happen got think different happen probably don want know anyways use live homeless shelter sf now living home awesome starting new life new,awesome person want go random adventure throwing pickle ppl snorting kocain meth lol hahah know thats methsup lol haha sorry yah bored,asian black indian,64,20000,student,2012 06 30 23 52,san francisco california,doesn rsquo want kid,straight,dog dislike cat,laughing,,gemini rsquo fun think,,english fluently,single
1645,35,average,mostly vegetarian,rarely,sometimes,dropped college university,bay area native artist entrepreneur let passion drive work everyday couldn imagine spending life work didn love glass blowing passion life work gone massage therapy school hobby enjoy mountain biking salt water aquarium gardening really outside love getting away rustic area mendo humboldt ve travelled 20 country love seeing experiencing culture general pretty healthy sense adventure love learn always taking class finished massage therapist training two beautiful son relationship thier mother basu420 identifies gay found polyamory work best open honest,running business taking break outside spend time friend family,listening communicating creative working computer technology massage making glass flower,kind look grizzly bear haha sometimes people intimidated think tough guy something big people know appreciate irony,lately havn found much time read book younger really carlos castenada work book similar vein philosophy spirituality watch fringe hell kitchen project runway,family friend art music glass 420,next tattoo,blowing glass home chilling gettin 420 don go much good dubstep reggae show ll definitely never see club friday night thats sure don drink,kind goofy ridiculous sense humor,think enjoy company polyamory definitely 420 friendly mountain bike rock climb,white,75,,artistic musical writer,2012 06 28 21 00,berkeley california,kid,straight,like dog like cat,judaism,,aries rsquo fun think,,english spanish poorly italian poorly hebrew poorly,available
1655,58,average,mostly vegetarian,socially,never,graduated college university,usually photographer picture alone healthy content many way physical mental spiritual health great friend family job home love appreciate nature adventure many kind enjoy cooking friend good creating peaceful beautiful home environment continue expand knowledge awareness grow many way learning new thing quite affectionate love great physical relationship good friend companion feminine yet tom boy side quite adventurous enjoying life many interest quite happy find one equally content themself,rn artist two wonderful daughter one home love art outdoors travel cooking adventure friend family creative positive outlook aspect life,friend mother communicating sharing painting drawing happy content life kissing hugging,wavy reddish hair smile pretty friendly open find lot people don know smile easily open talk,love music jazz especially fusion rock almost anything big country rap fan play piano sing little ll eat almost anything much meat eater love try new food love cook many type book movie horror movie enjoyed reading four agreement eat pray love recently movie currently reading buddha dated well several book effective parenting going read girl dragon tatoo fifty shade grey next,daughter good friend heart soul spirit connection good food music outdoors great romantic relationship lot wonderful hug kiss etc,everything life really want truest self,friend home family fun,later,intelligent creative joyful nature lover depth heart soul passionate playful honest,white,64,,medicine health,2012 06 30 15 20,alameda california,kid doesn rsquo want,straight,like dog cat,christianity serious,,taurus rsquo fun think,,english fluently,single
1679,69,athletic,mostly vegetarian,,sometimes,graduated two year college,compassionate high energy open minded person big heart le fortunate sucker good sense humor,honest breathing top prority,really good social intercourse follow anyone dance floor,totally depends interested,love assortment kind film good horror flick rock boat,socializing movie working walking dog stimulating conersations one cup coffee morning job,everything sometimes nothing,,horror movie blood gore love,interested although certainly difficult determine will rediculous statement don agree,white,63,,medicine health,2012 06 30 11 45,san francisco california,kid,straight,dog,laughing,,gemini doesn rsquo matter,,english fluently,single
1695,36,average,mostly anything,socially,never,graduated ph program,kind inquisitive witty mischievous streak outside make happy feel alive hiking going beach bike ride picnic yoga really excited sharing great food wine getting dressed check new restaurant revisiting old fave staying cooking love music going show small venue seeing film ve waiting come right playing hooky go museum crowd free spending quality time friend high priority travel exploring new destination spontaneous weekend adventure enough exercise try meditate sense going world usually sort creative endeavor going recently ve singing teaching play guitar ve longstanding interest spirituality buddhism foot ground mandatory psychologist private practice san francisco feel fortunate work deeply satisfying creative challenging psychology gig worked audio production nyc,something meaningful fun time,work paying attention truly enjoying appreciating people experience thing friendship laughing playing abandon engaging conversation listening intuitive self reflective taking responsibility honest even difficult inspiring people think interpreting dream detecting entertaining ordering restaurant choosing music making salad dressing food presentation boggle throwing frisbee girl kinda sing,often told calming presence contagious laugh style smell good,lolita crime punishment pema chodron freud memoir annie hall english patient life others coens wes anderson documentary mad men south park six foot daily show nina simone bob dylan leonard cohen national iron amp wine tom wait decemberists tallest man earth jolie holland nick cave oscar peterson la bamba black key dinah washington food anything fresh amazing great wine cocktail,non material love expression important people life laughter music sunny beach occasional solitude yoga material without sure sunglass ipod sharp knife toe nail polish good pen dark chocolate,friend family cook next art unconscious dream intersection spirituality psychology heals love next adventure,sharing good food drink maybe music movie,made middle name elementary school didn one wanted kid ve never seen star war really,re solid guy kind mature self aware fun reliable financially stable edge appreciation absurd love great time shit together meet special person generally believe goatee great idea though deal breaker re wonderful,white,62,,medicine health,2012 06 30 19 54,oakland california,doesn rsquo kid want,straight,like dog like cat,serious,,pisces rsquo fun think,,english fluently russian okay spanish poorly,single
1701,23,average,mostly anything,socially,never,working med school,grew mainly cal slowly moving coast college grad school live sf now love even constant fog cloud pretty laid back open minded byproduct growing west coast think tend quieter personality unless talking something really passionate nerdy really loyal friend family pretty happy life now going,currently medical school though still long way go actually settled career loving almost every second,figure skating hobby ve kid driving highway 17 family life sc drive pretty frequently probably favorite highway tennis actually good love playing reading favorite book watching favorite movie waiting line concert early getting prime spot front band friend dropping phone tripping hitting doorway pole random thing arm walk bit clumsy,really idea maybe tell meet,book power one ender game series harry potter series anything jane austin amy tan movie fight club finding neverland inception gladiator match point matrix love actually child men list really go music type really favorite band muse guster greenday death cab cutie silversun pickup onerepublic show friend er dead big love big bang theory daily show,ice skate internet access library card ipod music delivering device chocolate family friend,school school related stuff go hand hand lot computer related procrastination day dreaming,really depends week week school schedule range going friend staying netflix movie rental escaping city go ice skating working,first concert experience nsync music taste evolved sometimes rocking 90 pop really turn day around,genuinely nice honest loyal person don smoke general goal aspiration life don mind flexible crazy busy school schedule something interest want learn,middle eastern,65,,student,2012 06 27 22 08,san francisco california,doesn rsquo kid want,straight,like dog like cat,agnosticism,,virgo doesn rsquo matter,,english farsi,single
1717,23,athletic,vegan,socially,never,working college university,queer kid looking something shiny,going school become fire fighter obtain degree sign language interpreting hope travel something skill idea guess ll see pretty much jump whatever want go volunteer aid organization called lifelong interested finding non profit internship still becoming familiar san francisco,singing shower challenge cooking eating anything physical reading comic book bikeaholic pretty good riding bike day,smile lot nerd piercings tattoo,anything saul williams silvia plaith grimm bother league imagine shawn dead despicable dexter discovery channel south park family guy distiller lady gaga kesha exploited cock sparrer passion pit mike snow bass nectar deadmau5 sleater kenney blue scholar fatty love everything except red bell pepper gross,family friend dancing bike running thought expression adventure mind blowing sex,crack ceiling incredible sex eat later next adventure inner working society roll play queer dance party,every friday night different depends week,put sock pant,feel looking hangout good time want buddy go grab beer coffee somebody laugh joke,white,63,,student,2012 07 01 07 41,san francisco california,doesn rsquo kid,gay,like dog like cat,laughing,,leo rsquo fun think,,english okay sign language fluently,single
1720,24,average,mostly vegan,socially,often,working college university,sum completely anything write want think dangerous noble thing want light frolicsome want improbable beautiful afraid nothing though wing mary oliver graduated texas tech got as san francisco fast free spirit bleeding heart animal human right activist journalist lover fashion art tend attract artistic free spirited creative type kindred gypsy spirit absolutely crave space awe talented people strive relationship inspire one another,career will fashion magazine passionate investigative journalism primary issue concern woman right animal right minority right lgbt right great fit woman fashion magazine one two real story per issue really philanthropy don money graduated stil funemployed help volunteering time signing circulating petition contacting representative matter pertaining human animal right etc spend lot time helping stray animal area making sure food water getting fixed vaccinated often finding new home,reading people perspective gift skilled writer copy editor design editor stylist photographer social medium representative literature analyst marketer whatever isn currently coming mind people wouldn expect actually second degree second dan second gup black belt tae kwon pretty good cook damned good baker lot work ve become good honesty transparency open book profile really good bringing people shell making others laugh silly thing people embarrassed,warm loving energy put unfortunately find society people typically notice appearance attracted someone appearance much mind appreciate men read message comment physical appearance think re pig lot inner strength scorpio people people notice sometimes intimidated shouldn though friendly warm,huge wes anderson fan really dig indie movie love documentary favorite include collapse food matter zeitgeist religilous many don dig scary violent movie favorite show include bored death wilfred modern family curb enthusiasm workaholic arrested development always sunny flight conchords daily show colbert report tim eric awesome show great job say project runway far music go favorite artist go day ll keep brief include ted leo pharmacist built spill modest mouse radiohead flaming lip beulah belle amp sebastian king convenience really dig 80 rock reggae blue classic rock beatles doesn zeppelin floyd even occasional lady gaga don hate dubstep another guilty pleasure love shit dancing great spirit second chakra food part going make seem high maintenance pain as swear really nutrition environmental sustainability eat mostly vegan organic raw food say mostly vegan sometimes girl got pizza nice brie don much time reading wish absolutely adore anything salinger hemingway kerouac steinbeck shelley faulkner etc really love classic obsessed metaphysical book help self work four agreement essence self realization conscious loving kundalini awakening name go park read prepared read amazing line come,tricky question will probably change day day marijuana re green re traveling feed gypsy soul chakra healing receiving well giving friend family kindred spirit play sleeping warm weather,self work scorpio cancer moon extremely introspective person always trying improve way thinking connection divine mean oneness universe jesus nonsense spend lot time reading analyzing others people general well thinking researching economics politics aforementioned right issue daydreaming finishing responsibility dance twirl play outside,probably raging friend getting everyone dance floor effortless freedom sweet move,ve never even considered online dating thing embarrassing,re republican re knowledgeable thing knowledgeable economics politics smoke ganj re looking random hookup won proficient understanding spelling grammar punctuation elitist snob everyone different love language word much preferred one obviously doesn extend friend important romantic interest re informed enough revolution ows occupy world,white,67,20000,entertainment medium,2012 06 30 20 35,san francisco california,doesn rsquo want kid,straight,like dog cat,agnosticism somewhat serious,,scorpio matter lot,trying quit,english fluently french poorly,single
1741,29,thin,mostly vegetarian,socially,never,graduated master program,consider cultured sophisticated career driven softly independent woman grew shy slightly insecure think broken cocoon absolutely love life freely flying butterfly now love great thing able say mean say passionate profession complete understatement long remember drawn architecture kid loved playing lego really thought something real power tool set even though bare cut piece thin card stock wood print enjoy traveling seeing new place around world italy france favorite place far one day love go egypt see great pyramid pretty easy going afraid try something new unless jumping plane something think plane great job landing preferred method decent enjoy watching sport football basketball favorite hanging friend baking chocolate chip cooky,currently working architect large firm city truly enjoy learning growing career decided learn finally learn french dad side speaks french paris one favorite city enjoy painting spare time find relaxing form expression,baking designing one liner,eye,book new earth sex amp city something borrowed movie silence lamb meet joe black benny amp june show office family guy happy ending love amp family music anything except country food mexican amp italian,chocolate twin smartphone debit card high heel amp love,fashion amp design,home unwinding long work week,devour brownie la mode two minute flat,driven passionate ready meet someone share passion want great time getting know,black,67,,,2012 06 04 19 04,oakland california,doesn rsquo kid want,straight,dog,christianity,,virgo rsquo fun think,,english fluently,single
1752,27,average,strictly anything,socially,never,graduated law school,born canada grew home wildcat tucson az got san francisco way law school yes lawyer hiking beer cupcake football good parking spot people know park garage please use really challenge game flip cup survived trip yosemite 300 13 year old yikes aren taller profile say 11 need apply looking girl brain make delicious margarita cupcake verdict go ahead contact,working pretty much saving world one employee benefit plan time,making smoothy baking book stuff decorating driving stick shift heel super mario bros angry bird programing dvr record upon time,probably don look lebanese entirely american,book ender game harry potter pride prejudice bro code movie top gun finding nemo anchor man office space show met mother grey anatomy planet earth saved bell music tupac sublime jason aldean ke ha food cheese beer date grilled cheese,chapstick deodorant friend beer washer dryer apt duct tape,parking,crafty,personal organizer,10 well versed flip cup excellent grammar skill,white,65,,law legal service,2012 06 25 10 44,san francisco california,doesn rsquo kid might want,straight,like dog like cat,christianity serious,,virgo doesn rsquo matter,,english fluently french poorly,single
1773,22,curvy,mostly anything,often,never,working college university,parent named christina love baseball loyal oakland fan worst habit crack knuckle smoke decide inherited great hair incredible ability quite stubborn mom got dad sense humor super fly blood type positive donate often favorite drink beer preferably red stripe thing love movie nap baseball basketball dog laughing beer video game occasional lazy day summer camping music family friend scavenger hunt read sick driving around exploring call explor capades around bay area beyond learning stuff laying sun park taking shower doodling reading astronomy philosophy anthropology documentary knowing continuing find smile life thing hate coffee asthma attack low tolerance pain ignorance arrogance people don headlight heavy rain especially freeway shopping kind juice except grapefruit juice potato sick cold weather able sleep beer douche bag ed hardy clothing sun wake earthquake unmade bed dirty bedroom flake debbie downer buzz kill plethora useless information extremely handy skill good advice even take bad mean awesome joke seriously pretty considerate genuine happy goofy honest passionate caring person actually live mentally rich life got enough trouble younger value life pretty independent love surrounding good people kind girl get easily attached looking anything particular letting life present whatever see fit natural optimist terribly stubborn contrarian perfectly defined truly one kind love meeting new people experiencing new thing unexamined life worth living socrates,full time student work almost full time little free time don waste,half german half mexican bred work drink fight pretty good sudoku laughing making longboards making bad joke least make laugh talking movie seeing image simpson cloud acting kid appropriate time adult appropriate time,genuinely happy friendly person always smiling joking around,book area expertise apollo fire catcher rye freedom go ask alice cat cradle rule radical parable sower alchemist among many many others love read movie love kind movie mentally emotionally rich mindlessly hilarious one tommy boy super trooper clerk ii royal tenenbaums burn reading empire record departed donnie brasco half nelson american history tropic thunder young frankenstein valkyrie fracture big fish league big brewster million donnie darko stranger fiction name show arrested development office daily show walking dead modern family breaking bad misfit don really watch lot tv music many different genre go talib kweli living legend interpol atmosphere smoov andre nickatina dilated people bob seger fleetwood mac queen jim croce gorillaz hall amp oates aesop rock ccr neil young high amp mighty childish gambino janis joplin dusty springfield hieroglyphic zion pharcyde people stair cunninglynguists stevie wonder curtis mayfield jurassic coup twista think food hate potato onion mom cooking absolute best feel free challenge confident trusting skill kitchen,massive family dog cat included beer good time intimacy sex music rich intellectual interaction conversation,future growing terrifies almost end,probably wearing hair preferably gin tonic hand least supplementing beer,night terror joke regularly wake cry whimpering scared mind nightmare imagination sub conscience don play well together suffer consequence,think keep,hispanic latin white,67,,sale marketing biz dev,2012 07 01 02 29,san leandro california,doesn rsquo kid want,straight,dog cat,atheism somewhat serious,,gemini rsquo fun think,yes,english fluently spanish poorly,single
1784,25,average,strictly vegetarian,socially,never,working master program,last year grad school studying become social worker california native lived outside portland oregon time year old high school love pacific northwest moved sf undergrad recently moved east berkeley school bay area definitely heart now consider home love laugh gravitate toward people witty sense humor finance travel much plotting cross country road trip head year will someday make happen don actually car know obstacle ve south africa mozambique peru haven seen new york gotta work optimist think something beautiful inside every person think finding way relate others face quirk idiosyncrasy big part make life interesting,training medical social worker cal interning hospital last year worked mostly elderly patient dementia cancer primarily end life bereavement work year working child hospital child brain cancer need neurosurgery background nonprofit work working people hiv aid mental disorder physical disability school work recently taken running yoga love music although good play guitar piano flute love cook often found kitchen nearby grocery store farmer market enjoy pace living urban environment couldn keep sanity didn nature every often recharge enjoy walking hiking middle tall tree,think good listener communicator ve told pretty good cook love making food people hyper organized plan lot good keeping track important information big fan abandoning plan spontaneous adventure present good secret keeper,sure tell,book poisonwood bible favorite kill mockingbird one hundred year solitude tale city must san francisco dweller power one basically anything isn grad school assigned movie garden state forrest gump wizard oz vendetta million dollar baby almost famous fight club love actually little miss sunshine ghost world pulp fiction shawshank redemption show office pre steve carrell departure mad men white collar glee met mother daily show colbert report arrested development big bang theory music dmb bob dylan arcade fire fleetwood mac led zeppelin regina spektor ryan adam sigur ro csny tracy chapman joe purdy cat power shin belle sebastian black key michael franti amp spearhead patti griffin ben howard mumford amp son head heart lot newer older stuff love introduced new tune food vegetarian adventurous eater ll try anything except dead animal bean rice mexican food comfort food love curry mediterranean food pasta pretty much dessert coffee tea make happy keep sane happy hang non vegetarian will try convert promise,ipod coffee morning favorite sweatpants great conversation good company passport locally clipper card laptop school constant companion moment,better communicator social worker around better person yummy food love cook often planning recipe big extended family think lot lately travel bug reared head ve dreaming trip india el salvador europe,often friday night consist relaxing couch beer glass wine cup tea book tv show unwind week feeling energetic usually dinner drink friend going city catch show dance,posting private thing internet get people trouble,hope know cool people common interest see progress something definitely open long term relationship expecting something super serious right away looking hook looking forward great conversation hopefully fun new experience,hispanic latin white,65,,student,2012 06 30 11 49,berkeley california,doesn rsquo kid,straight,like dog,serious,,virgo rsquo fun think,,english fluently spanish okay,single
1797,34,athletic,strictly anything,often,never,graduated college university,command room presence voice sly completely mysterious love outdoors camping hiking wave breaking rock peace amp quiet smell salt air love city trendy restaurant crowded dive bar art museum loud concert long night multiple cab ride end greasy food sport good soccer football basketball baseball order college better pro politics sure love discussing big picture small specific minutia detail relatively liberal random position many item confident person intelligent know around friendly open flexible along likely something wrong facebook thoroughly enjoy twitter thing enjoy particular order wine iphone bbq bourbon lake tahoe golf movie oatmeal thechive spicy salsa sirius radio unique eclectic exciting person let see connect,trying save world helping oil refinery operate efficiently use le water produce lower emission work specialty chemical company sell sort chemical oil company interesting work,making people laugh enjoy life organizing big group long crazy trip remembering song lyric movie quote,positive attitude desire make people smile,oh everything crave type medium twitter podcasts newspaper magazine blog catching mad men community park amp rec moment thank netflix time favorite range godfather goodfellas die hard rush hour ferris bueller day goony michael clayton good night good luck babel king speech syriana bourne movie music taste extremely varied ll listen anything food depending day craving thai mexican burger bbq salad whatever love cooking others,family amp friend iphone spicy food wine sirius radio sunshine,make world better place many people world seem terribly angry create next viral video website,sporting event dinner friend concert sitting friend house playing card call ll anything,mildly afraid ant,positive active person enjoys life looking new adventure,white,72,100000,sale marketing biz dev,2012 07 01 08 53,berkeley california,doesn rsquo kid want,straight,like dog dislike cat,catholicism somewhat serious,,scorpio rsquo fun think,,english fluently spanish poorly,single
1811,22,skinny,mostly vegetarian,socially,never,working college university,marli re profile millionth time hang tight overly energetic super goofy weird pseudo ginger living san francisco enjoying every moment live fog sunset district way always keep head cloud document life photograph amazing way think keeping track every chapter life deal deleting thing throwing away photo touch image will freak addicted internet blame job social medium marker though suppose started many many year something working though frankly rather adventure pretty gardening biking adventuring finding secret spot enjoy life getting perfect shot making people feel better laugh exploring new place learning cook crafting knitting need someone enjoy rare bit sunshine,work spa yoga studio well computer home online social medium marketing yeah spammer loath sorry full time student studying marine biology pretty damn stoked find garden outside adventure somewhere camera hand friend used joke wouldn able pick crowd always camera face though anywhere face computer second bet live photoshop neglect film,finding amazing armchair free sarcastic good making smile random act kindness folding towel making feel awkward reading quickly weird human,piece metal hanging face known piercings walk tip toe prefer phrase raptor instead,think section make sound un intelligent hardly feel listing everything interested catch absorbed text book school possibly rereading old favorite huge harry potter fan overbearing way enjoy palahniuk brett easton elli mccarthy vonnegut tolken plenty favorite discus couple include battle royal road clockwork orange red fern grows everything illuminated persepolis candy requiem dream mega movie tv show even though don tv let take time love community arrested development workaholic game throne always sunny dumb girl show don care admit publicly watch sad movie sad make feel better way doesn make sense stupid thing irritated people haven seen certain movie don bother though haven seen star war enjoy foreign film wes anderson bad sci fy movie mega shark giant octopus night week music wise pretty map generalize say indie rock listen experiemental folk punk fair amount well adore music festival especially adventure camping involved love food falafel fiend indian food thai food regular plate live without pasta probably eat veggie stop carbaholic eat girl size haha snacking problem don really care metabolize thing quickly let eat candy bagel dinner,camera map sunscreen mom boot made walking hug,ocean life cook thing without burning exposure time late stay wake early narwhal unicorn sea fun say polyplacaphora think weird shit question ended thinking blame adhd,exploring city somewhere friend probably won find home,don secret message people first okc think embarrassing enough hahaha,hate dubstep going dive bar show opening random event hole wall restaurant anywhere 2am especially donut fondness thrifting cooking eating candy snuggling goofy fuck curse sailor,white,67,,sale marketing biz dev,2012 07 01 01 34,san francisco california,doesn rsquo kid doesn rsquo want,straight,like dog,agnosticism serious,,pisces rsquo fun think,,english fluently,single
1815,23,curvy,mostly anything,socially,sometimes,dropped college university,born raised city love damn proud call native love hometown traveling passion allows appreciate come fuel explore outside bay area ve really seen bit almost central america exception nicaragua see big world live compared woman age describe preferring practicality aesthetic normally say don know pull together content purse usually include band aid yo yo pen rather make compact mirror perfume style usually jean tee shirt described bit tomboy right occasion throw dress nice shoe normally lead lifestyle necessary said much club person prefer explore wide array nightlife available great city enjoy poetry slam trivia night even decent music show,indoor environmental consultant ass amount contamination various indoor contaminant sound real awesome huh always find hard follow statement anything will keep someone interest main duty said job answering phone writing report interpreting laboratory data even exciting right well necessarily passion something find interesting important help people anything life think want travel writer love travel enjoy writing maybe one day now pay bill,baking pie blueberry particular finding wet patch grass hippie hill falling back asleep getting turning alarm clock great habit happened roasting perfect marshmallow campfire giving massage half finishing crossword puzzle finding worthwhile stuff garage sale flea market giving high five,key usually carry enough make janitor jealous defense use key almost daily find jingle jangle nice soundtrack personal stride eye aren shabby either,book illustrated man really anything ray bradbury red harvest dashiell hammett great detective novel 1920s 30 anything hunter thompson really love good sci fi story murder mystery drug fuelled adventure movie harold maude beetlejuice charade craft dream may come fear loathing la vega skeleton key eternal sunshine spotless mind empire record drag hell past vertigo ondine love horror movie mystery movie primarily tv show twilight zone stranger candy workaholic american horror story daria arrested development eastbound always sunny philadelphia skin united state tara midsommer murder portlandia colony usually go sci fi comedy stay away reality tv housewife bother end music akua naru annette hanshaw atmopshere beatles billie holiday brenda lee caro emerald cardigan creedence clearwater revival david bowie donna dr dre ella mae morse frank sinatra fugees hieroglyphic lenoir lianne la havas lily allen lucy rose marvin gaye mc lyte nelly furtado doubt otis redding outkast pharcyde pink red hot chili pepper rox sam cooke simon amp garfunkel sublime third eye blind tlc wanda jackson wu tang clan really tried keep list short go day food everything kinda addicted hot sour soup ll try anything least usually twice give benefit doubt,aside basic food water shelter obvious book music friend family sunglass notebook pen will count together tooth floss chapstick clean sock hair tie,people accomplished much anything realm research internet don wrong love library seriously think question couldn google time travel rod serling fucking genius banana peel really slippery seem cartoon people sitting around muni will getting bus good costume idea burning man halloween blue legitimate flavor candy don mean blueberry,drink watching live music show friend schooling pool game,shamelessly sing along radio car shower suffer terrible stage fright one kinda lame kinda obsessive putting thing order card deck eh pretty lame something private recorded vocalist song potty training cd yeah think one win,looking companion explore new part city looking partner crime go random adventure want grab drink meet stranger know slightly read online rather rolling dice demographic certain bar,,69,,science tech engineering,2012 06 30 14 29,san francisco california,doesn rsquo kid doesn rsquo want,bisexual,like dog like cat,serious,,aquarius rsquo fun think,,english fluently,single
